,ID,Título,Enlace,Precio,Detalles,Descripción
0,106476051,"Piso en paseo de Colom, El Gòtic, Barcelona",https://www.idealista.com/inmueble/106476051/,1.275.000€,2 hab. | 131 m² | Planta 2ª exterior con ascensor,"Exclusivo piso de 131 m² en el Barrio Gótico de Barcelona, completamente reformado y amueblado. Esta elegante propiedad está situada en una finca regia de estilo modernista en perfecto estado y se encuentra en una cuarta planta real, accesible por ascensor, ofreciendo el máximo confort y calidad.
Al entrar, un amplio recibidor conduce a un espacioso salón comedor, decorado con calidez y buen gusto. Este salón incluye una cocina abierta equipada con electrodomésticos de alta gama y un balcón orientado al sur, con vistas despejadas al puerto. Lo"
1,106475860,"Piso en calle de la Mercè, El Gòtic, Barcelona",https://www.idealista.com/inmueble/106475860/,765.000€,2 hab. | 110 m² | Entreplanta exterior con ascensor,"Apartamento de lujo en Passeig de Colom con vistas panorámicas de 180º al Port Marítim completamente reformado. Con una superficie construida de 110 m², esta propiedad ha sido completamente renovada y está lista para estrenarse. Este apartamento de alto nivel combina diseño contemporáneo con el encanto de un edificio neoclásico de 1875, cuidadosamente actualizado para conservar su arquitectura original.
La vivienda cuenta con dos dormitorios dobles, dos baños completos y un elegante recibidor que conduce a un amplio pasillo iluminado con vigas"
2,103930029,"Ático en Gran Via de les Corts Catalanes, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/inmueble/103930029/,750.000€,2 hab. | 97 m² | Planta 8ª exterior con ascensor,"Este maravilloso ático de 87 m2 construidos interiores según Catastro y terraza de 9 m2 te ofrece una experiencia única en una finca llena de detalles modernistas, sumergiéndote en la elegancia y el encanto del pasado. Con una ubicación privilegiada a 10 minutos andando de Plaza Catalunya, la vivienda es completamente exterior y disfruta de una radiante orientación que baña cada rincón con luz natural.
Al acceder a la vivienda, descubrirás una distribución inteligente que divide claramente la zona de día y la de noche. La cocina semiabierta te"
3,,No disponible,No disponible,No disponible,No disponible,No disponible
4,105473433,"Piso en calle de València, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105473433/,2.450.000€,4 hab. | 253 m² | Planta 1ª exterior con ascensor,"Esta increíble vivienda reformada a estrenar se sitúa a una calle del Paseo de Gracia, en una de las zonas más cotizadas del Eixample barcelonés. El lujo, el confort y un estilo de vida único se unen en este Principal de 188,7 m2 construidos interiores y terraza de 124 m2. Está en una finca modernista con solo un piso por planta y ascensor que entra directamente al piso.
Un impresionante recibidor nos da la bienvenida con un gran ventanal que da al patio del que disfruta el piso. Este ha sido reformado con madera de teka y se ha plantado un im"
5,105043094,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105043094/,1.350.000€,3 hab. | 115 m² | Planta 3ª exterior con ascensor,"Este piso de lujo se sitúa en el Paseo de Gracia, en un edificio obra del prestigioso arquitecto Josep Puig i Cadafalch, enfrente de la Casa Batlló y la Casa Ametller. Se trata de una ubicación envidiable en una de las mejores avenidas de toda Europa, rodeada de todas las comodidades y servicios que una ciudad como Barcelona te puede ofrecer.
La vivienda se sitúa en la tercera planta real y es muy tranquila, ya que da al patio de manzana. Un amplio recibidor nos conduce al salón-comedor de 30 m2, que dispone de una agradable zona de galería or"
6,106483261,"Ático en calle dels Valero, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/106483261/,2.500.000€,4 hab. | 280 m² | Planta 5ª exterior con ascensor,"Exclusivo ático de 280 m², a cuatro vientos, se encuentra a pocos pasos del Turó Park, en una finca neoclásica de los años 50. Rodeado de jardines y con un elegante vestíbulo de entrada, este edificio con solo cinco vecinos garantiza privacidad y tranquilidad, lo que lo convierte en un lugar único para vivir.
El ascensor te lleva directamente a un recibidor privado que da acceso a un amplio salón con techos abuhardillados de 4 metros de altura y suelos de madera natural. Desde el salón se accede a una terraza de 20 m², perfecta para disfrutar"
7,106506847,"Piso en calle del Bruc, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106506847/,1.150.000€,4 hab. | 180 m² | Planta 7ª exterior con ascensor,"Presentamos esta impresionante vivienda situada en el prestigioso barrio de l'Eixample Dreta. Ubicada en una séptima planta de una finca regia con carácter y estilo, totalmente reformada en 2001, esta propiedad de 180 metros cuadrados, te brinda una calidad de vida inigualable.
Cuenta con cuatro grandes dormitorios, exteriores, uno de ellos con un elegante vestidor y tres baños, siendo uno de ellos en suite, proporcionando el máximo confort. El amplio salón-comedor es muy luminoso, ofreciendo el espacio ideal para disfrutar de momentos especia"
8,106061040,"Ático en calle de València, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106061040/,695.000€,3 hab. | 79 m² | Planta 6ª exterior con ascensor,"Ático de 79 m² construidos, situado en un edificio modernista catalogado de 1936, en el prestigioso Quadrat d'Or de Barcelona. La vivienda cuenta con 3 habitaciones, incluyendo una suite principal, una habitación mediana con baño en suite y una habitación individual, distribuidas de manera funcional para maximizar la comodidad y el confort.
El espacio se divide en una zona de día que incluye un salón con techo de volta catalana, suelos originales y amplios ventanales orientados al sur, ofreciendo abundante luz natural y vistas despejadas. La c"
9,103305568,"Casa o chalet independiente en calle de Benedetti, 78, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/inmueble/103305568/,2.000.000€,4 hab. | 292 m²,"Esta fabulosa moderna y funcional casa unifamiliar, se divide en cuatro plantas y un solárium que comunican entre sí mediante ascensor y escalera. Su superficie total es de 455 m2, de los cuales 113 m2 corresponden al garaje para tres coches y motos y 77 m2 al espacio de almacenaje y zona de lavandería. Construida en 2004 sobre un solar de unos 250 m2, dispone de una maravillosa terraza de 157 m2 orientada al mar con jacuzzi y zona ajardinada. Se encuentra en el barrio de La Bonanova, cerca de colegios y universidades de prestigio, transporte p"
