ID,Título,Enlace,Precio,Detalles,Descripción
103739782,"Piso en calle de Ferrán Agulló, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/103739782/,1.560.000€,5 hab. | 245 m² | Planta 5ª exterior con ascensor,"Piso situado en una de las 4 calles del Turó Park, una de las zonas residenciales más codiciadas de Barcelona. Está en la 5ª planta real, por lo que es muy luminoso y tranquilo. Con 245 m2 construidos y 5 habitaciones, se trata de una opción ideal para familias grandes que busquen un hogar de alto standing en Barcelona.
En la entrada, un gran recibidor nos conduce a la izquierda hacia un espacio abierto usado actualmente como biblioteca, a través del cual llegamos al salón-comedor. Es muy amplio, recibe muchísima luz natural, tiene orientación"
105473433,"Piso en calle de València, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105473433/,2.450.000€,4 hab. | 253 m² | Planta 1ª exterior con ascensor,"Esta increíble vivienda reformada a estrenar se sitúa a una calle del Paseo de Gracia, en una de las zonas más cotizadas del Eixample barcelonés. El lujo, el confort y un estilo de vida único se unen en este Principal de 188,7 m2 construidos interiores y terraza de 124 m2. Está en una finca modernista con solo un piso por planta y ascensor que entra directamente al piso.
Un impresionante recibidor nos da la bienvenida con un gran ventanal que da al patio del que disfruta el piso. Este ha sido reformado con madera de teka y se ha plantado un im"
103930029,"Ático en Gran Via de les Corts Catalanes, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/inmueble/103930029/,750.000€,2 hab. | 97 m² | Planta 8ª exterior con ascensor,"Este maravilloso ático de 87 m2 construidos interiores según Catastro y terraza de 9 m2 te ofrece una experiencia única en una finca llena de detalles modernistas, sumergiéndote en la elegancia y el encanto del pasado. Con una ubicación privilegiada a 10 minutos andando de Plaza Catalunya, la vivienda es completamente exterior y disfruta de una radiante orientación que baña cada rincón con luz natural.
Al acceder a la vivienda, descubrirás una distribución inteligente que divide claramente la zona de día y la de noche. La cocina semiabierta te"
105043094,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105043094/,1.350.000€,3 hab. | 115 m² | Planta 3ª exterior con ascensor,"Este piso de lujo se sitúa en el Paseo de Gracia, en un edificio obra del prestigioso arquitecto Josep Puig i Cadafalch, enfrente de la Casa Batlló y la Casa Ametller. Se trata de una ubicación envidiable en una de las mejores avenidas de toda Europa, rodeada de todas las comodidades y servicios que una ciudad como Barcelona te puede ofrecer.
La vivienda se sitúa en la tercera planta real y es muy tranquila, ya que da al patio de manzana. Un amplio recibidor nos conduce al salón-comedor de 30 m2, que dispone de una agradable zona de galería or"
103305568,"Casa o chalet independiente en calle de Benedetti, 78, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/inmueble/103305568/,2.000.000€,4 hab. | 292 m²,"Esta fabulosa moderna y funcional casa unifamiliar, se divide en cuatro plantas y un solárium que comunican entre sí mediante ascensor y escalera. Su superficie total es de 455 m2, de los cuales 113 m2 corresponden al garaje para tres coches y motos y 77 m2 al espacio de almacenaje y zona de lavandería. Construida en 2004 sobre un solar de unos 250 m2, dispone de una maravillosa terraza de 157 m2 orientada al mar con jacuzzi y zona ajardinada. Se encuentra en el barrio de La Bonanova, cerca de colegios y universidades de prestigio, transporte p"
106608440,"Piso en calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106608440/,675.000€,3 hab. | 107 m² | Planta 3ª exterior con ascensor,"Savills presenta este encantador apartamento en la codiciada Esquerra de l'Eixample, ubicado en la vibrante Calle Aribau, en una finca regia totalmente rehabilitada.
Con una superficie de 107 m2, la zona de día se distribuye en un recibidor, el cual nos dirige a un amplio salón comedor con salida a un balcón de estilo francés que da a calle Aribau, y a una cocina independiente totalmente equipada.
La zona de noche cuenta con 3 dormitorios dobles, uno de ellos en suite, todos con armarios empotrados, y un segundo baño completo.
La propiedad c"
106139128,"Casa o chalet independiente en calle d'Alcoi, 32, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/inmueble/106139128/,2.900.000€,7 hab. | 500 m²,"Esta magnífica propiedad dispone de seis amplias habitaciones en suite más una habitación de servicio independiente. Todas son exteriores, lo que permite disfrutar de abundante luz natural. Esto garantiza comodidad y privacidad a cada miembro del hogar. En la planta baja, tenemos un amplio y luminoso salón que se erige como el corazón social de la vivienda. Este espacio diáfano es perfecto para el descanso y el ocio, ya que cuenta con unos grandes ventanales que inundan la estancia de luz natural y se abren hacia la terraza delantera. En esta a"
105075436,"Piso en plaza Tetuan, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105075436/,2.550.000€,5 hab. | 283 m² | Planta 1ª exterior con ascensor,"Elegante piso con amplia terraza en finca regia en Eixample
Este sofisticado piso se encuentra en una fabulosa finca regia catalogada con un impresionante portal compuesto por grandes puertas de madera en la fachada y una segunda gran puerta vidriada que le dan un aire majestuoso al conjunto del edificio, situado en una de las zonas más revalorizadas de la derecha del Eixample.
Su diseño sobrio y elegante que conserva en parte los elementos originales de la época como lo son sus maravillosos techos artesonados y sus carpinterías originales rest"
106004460,"Piso en plaza Tetuan, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106004460/,2.550.000€,5 hab. | 283 m² | Planta 1ª exterior con ascensor,"Majestuoso y elegante piso con gran terraza en finca regia.
Esta espléndida propiedad de 231 m2 construidos interiores y gran terraza de 76,7 m2 destaca por una elegancia absoluta en la combinación de sus elementos originales con la reforma integral efectuada. Se sitúa al lado del Paseo Sant Joan, una zona muy codiciada del Eixample con numerosos comercios, servicios, restaurantes y oferta de transporte público en los alrededores.
La vivienda está en la Planta Principal de una finca regia con ascensor, por lo que goza de techos altos que le"
105435068,"Piso en calle del Rosselló, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/105435068/,1.900.000€,2 hab. | 175 m² | Planta 1ª exterior con ascensor,"Este impecable piso se sitúa entre Paseo de Gracia y Rambla Catalunya, una de las ubicaciones más prestigiosas de Barcelona en la parte alta de la Dreta del Eixample. La reforma de lujo ha cuidado al máximo todos los detalles en concepción, materiales y acabados, destacando los suelos y techos diseñados exclusivamente para este piso y el exquisito trabajo de marquetería en los suelos y la carpintería.
La vivienda tiene 170 m2 construidos interiores y un balcón de 10 m 2. Ocupa toda la planta Principal de una finca regia totalmente rehabilitada"
